OID_,Value,Count,bps,evt,evh_reclass,evc_reclass,BPS_MODEL,EVT_LF,EVT_PHYS,EVT_SBCLS,Leaf_Form,HT_Class,Lifeform,CanCover,SClass,LandType,LABEL
41,41,4046.000000000000000,1875,7320,43,8,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,Dry Mesic Mixed Oak Hardwood,E
42,42,6953.000000000000000,1875,7511,43,8,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,Dry Mesic Mixed Oak Hardwood,E
43,43,2215.000000000000000,1875,7320,43,9,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,Dry Mesic Mixed Oak Hardwood,E
44,44,297.000000000000000,1888,7556,43,7,14720_61_62_63,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,60-69,3,RB Small Stream Riparian (ELTP),C
45,45,171.000000000000000,1888,7556,43,6,14720_61_62_63,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,50-59,3,RB Small Stream Riparian (ELTP),C
46,46,4859.000000000000000,1874,7303,44,9,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,5,RB Mixed Hardwood-Toeslope (ELTP),E
47,47,4803.000000000000000,1874,7511,43,9,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,RB Mixed Hardwood-Toeslope (ELTP),E
48,48,1767.000000000000000,1888,7321,44,8,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,70-79,5,RB Small Stream Riparian (ELTP),E
49,49,4202.000000000000000,1888,7905,1,1,14720_61_62_63,Tree,Developed,Deciduous open tree canopy,NA,0,Non,0,120,RB Small Stream Riparian (ELTP),Developed
50,50,8755.000000000000000,1874,7905,1,1,13180_57_59_61,Tree,Developed,Deciduous open tree canopy,NA,0,Non,0,120,RB Mixed Hardwood-Toeslope (ELTP),Developed
51,51,8284.000000000000000,1883,7303,44,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,4,RB Mixed Hardwood-Toeslope (ELTP),D
52,52,134.000000000000000,1875,7556,43,9,13200_48_57_61,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,80-89,5,Dry Mesic Mixed Oak Hardwood,E
53,53,873.000000000000000,1875,7556,43,7,13200_48_57_61,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,60-69,4,Dry Mesic Mixed Oak Hardwood,D
54,54,2116.000000000000000,1874,7556,43,7,13180_57_59_61,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,60-69,4,RB Mixed Hardwood-Toeslope (ELTP),D
55,55,1216.000000000000000,1888,7303,44,9,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,5,RB Small Stream Riparian (ELTP),E
56,56,50189.000000000000000,1883,7511,43,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Mixed Hardwood-Toeslope (ELTP),B
57,57,899.000000000000000,1883,7556,43,9,13700_53_61_62,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,80-89,2,RB Mixed Hardwood-Toeslope (ELTP),B
58,58,246.000000000000000,1888,7556,43,8,14720_61_62_63,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,70-79,2,RB Small Stream Riparian (ELTP),B
59,59,109.000000000000000,1874,7320,43,9,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,RB Mixed Hardwood-Toeslope (ELTP),E
60,60,8462.000000000000000,1883,7905,1,1,13700_53_61_62,Tree,Developed,Deciduous open tree canopy,NA,0,Non,0,120,RB Mixed Hardwood-Toeslope (ELTP),Developed
61,61,308.000000000000000,1874,7303,44,7,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,60-69,4,RB Mixed Hardwood-Toeslope (ELTP),D
62,62,1273.000000000000000,1874,7303,43,6,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,50-59,4,RB Mixed Hardwood-Toeslope (ELTP),D
63,63,3532.000000000000000,1888,7321,44,9,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,5,RB Small Stream Riparian (ELTP),E
64,64,72.000000000000000,1874,7318,43,5,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,40-49,4,RB Mixed Hardwood-Toeslope (ELTP),D
65,65,1320.000000000000000,1888,7511,44,9,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,5,RB Small Stream Riparian (ELTP),E
66,66,5586.000000000000000,1883,7318,43,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Mixed Hardwood-Toeslope (ELTP),B
67,67,126.000000000000000,1874,9288,43,8,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,RB Mixed Hardwood-Toeslope (ELTP),E
68,68,2539.000000000000000,1874,7321,43,6,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,50-59,4,RB Mixed Hardwood-Toeslope (ELTP),D
69,69,8921.000000000000000,1883,7511,43,7,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,3,RB Mixed Hardwood-Toeslope (ELTP),C
70,70,318.000000000000000,1874,7321,44,7,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,60-69,4,RB Mixed Hardwood-Toeslope (ELTP),D
71,71,7.000000000000000,1874,7295,1,1,13180_57_59_61,Barren,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Developed,,0,Non,0,132,RB Mixed Hardwood-Toeslope (ELTP),Barren or Sparse
72,72,1034.000000000000000,1883,9315,44,9,13700_53_61_62,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,25-50,Tree,80-89,7,RB Mixed Hardwood-Toeslope (ELTP),UE
73,73,1227.000000000000000,1883,7318,44,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,4,RB Mixed Hardwood-Toeslope (ELTP),D
74,74,1658.000000000000000,1888,7303,43,7,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,3,RB Small Stream Riparian (ELTP),C
75,75,2660.000000000000000,1875,7905,1,1,13200_48_57_61,Tree,Developed,Deciduous open tree canopy,NA,0,Non,0,120,Dry Mesic Mixed Oak Hardwood,Developed
76,76,5765.000000000000000,1883,9315,43,7,13700_53_61_62,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,60-69,7,RB Mixed Hardwood-Toeslope (ELTP),UE
77,77,1416.000000000000000,1888,9315,43,8,14720_61_62_63,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,70-79,7,RB Small Stream Riparian (ELTP),UE
78,78,243.000000000000000,1874,7320,43,8,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,RB Mixed Hardwood-Toeslope (ELTP),E
79,79,219.000000000000000,1883,7318,44,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,70-79,4,RB Mixed Hardwood-Toeslope (ELTP),D
80,80,3077.000000000000000,1883,7321,44,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,70-79,4,RB Mixed Hardwood-Toeslope (ELTP),D
81,81,8726.000000000000000,1883,7511,44,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,4,RB Mixed Hardwood-Toeslope (ELTP),D
82,82,3381.000000000000000,1883,7318,43,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Mixed Hardwood-Toeslope (ELTP),B
83,83,52.000000000000000,1874,9317,33,3,13180_57_59_61,Shrub,Exotic Tree-Shrub,Deciduous shrubland,NA,1.0-3.0,Shrub,20-29,7,RB Mixed Hardwood-Toeslope (ELTP),UE
84,84,221.000000000000000,1883,9317,33,3,13700_53_61_62,Shrub,Exotic Tree-Shrub,Deciduous shrubland,NA,1.0-3.0,Shrub,20-29,7,RB Mixed Hardwood-Toeslope (ELTP),UE
85,85,2305.000000000000000,1875,7511,43,7,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,4,Dry Mesic Mixed Oak Hardwood,D
86,86,1027.000000000000000,1888,7511,43,7,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,3,RB Small Stream Riparian (ELTP),C
87,87,1084.000000000000000,1888,9315,43,9,14720_61_62_63,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,80-89,7,RB Small Stream Riparian (ELTP),UE
88,88,4276.000000000000000,1883,7511,44,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,70-79,4,RB Mixed Hardwood-Toeslope (ELTP),D
89,89,831.000000000000000,1875,7511,43,6,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,50-59,4,Dry Mesic Mixed Oak Hardwood,D
90,90,312.000000000000000,1888,7511,43,6,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,50-59,3,RB Small Stream Riparian (ELTP),C
91,91,1159.000000000000000,1888,7318,43,9,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Small Stream Riparian (ELTP),B
92,92,1207.000000000000000,1883,9317,33,2,13700_53_61_62,Shrub,Exotic Tree-Shrub,Deciduous shrubland,NA,1.0-3.0,Shrub,10-19,7,RB Mixed Hardwood-Toeslope (ELTP),UE
93,93,60.000000000000000,1875,9317,33,3,13200_48_57_61,Shrub,Exotic Tree-Shrub,Deciduous shrubland,NA,1.0-3.0,Shrub,20-29,7,Dry Mesic Mixed Oak Hardwood,UE
94,94,51.000000000000000,1888,9817,23,7,14720_61_62_63,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,>1.0,Herb,60-69,7,RB Small Stream Riparian (ELTP),UE
95,95,309.000000000000000,1888,9817,23,5,14720_61_62_63,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,>1.0,Herb,40-49,7,RB Small Stream Riparian (ELTP),UE
96,96,633.000000000000000,1883,7511,43,4,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,30-39,6,RB Mixed Hardwood-Toeslope (ELTP),UN
97,97,3238.000000000000000,1883,7511,43,6,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,50-59,3,RB Mixed Hardwood-Toeslope (ELTP),C
98,98,369.000000000000000,1875,9317,33,2,13200_48_57_61,Shrub,Exotic Tree-Shrub,Deciduous shrubland,NA,1.0-3.0,Shrub,10-19,7,Dry Mesic Mixed Oak Hardwood,UE
99,99,66.000000000000000,1874,9288,43,7,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,4,RB Mixed Hardwood-Toeslope (ELTP),D
100,100,909.000000000000000,1883,7512,43,7,13700_53_61_62,Tree,Conifer-Hardwood,Mixed evergreen-deciduous closed tree canopy,mix,10-25,Tree,60-69,3,RB Mixed Hardwood-Toeslope (ELTP),C
101,101,5087.000000000000000,1883,9817,23,6,13700_53_61_62,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,>1.0,Herb,50-59,7,RB Mixed Hardwood-Toeslope (ELTP),UE
102,102,2634.000000000000000,1883,7977,23,6,13700_53_61_62,Herb,Agricultural,Annual Graminoid/Forb,NA,>1.0,Herb,50-59,180,RB Mixed Hardwood-Toeslope (ELTP),Agriculture
103,103,3952.000000000000000,1875,9315,43,9,13200_48_57_61,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,80-89,7,Dry Mesic Mixed Oak Hardwood,UE
104,104,386.000000000000000,1874,9315,43,5,13180_57_59_61,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,40-49,7,RB Mixed Hardwood-Toeslope (ELTP),UE
105,105,1140.000000000000000,1874,7303,43,5,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,40-49,4,RB Mixed Hardwood-Toeslope (ELTP),D
106,106,1918.000000000000000,1888,7512,43,8,14720_61_62_63,Tree,Conifer-Hardwood,Mixed evergreen-deciduous closed tree canopy,mix,10-25,Tree,70-79,2,RB Small Stream Riparian (ELTP),B
107,107,1043.000000000000000,1875,7977,23,6,13200_48_57_61,Herb,Agricultural,Annual Graminoid/Forb,NA,>1.0,Herb,50-59,180,Dry Mesic Mixed Oak Hardwood,Agriculture
108,108,532.000000000000000,1883,7556,43,5,13700_53_61_62,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,40-49,3,RB Mixed Hardwood-Toeslope (ELTP),C
109,109,7555.000000000000000,1883,7321,43,7,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,3,RB Mixed Hardwood-Toeslope (ELTP),C
110,110,8024.000000000000000,1875,7511,43,9,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,Dry Mesic Mixed Oak Hardwood,E
111,111,445.000000000000000,1875,7318,43,9,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,Dry Mesic Mixed Oak Hardwood,E
